job_id,config,project,initial_numPass,is_success,max_numPass,final_fitness,final_iteration,optimal_iteration,first_improvement_iteration,convergence_90_iteration,total_evaluations,actual_executions,predictions,duration_seconds,prediction_rate,time_to_first_improvement_sec
121,FI-70,FruitCatching-7,5,False,8,24.98385775714218,378,,9.0,22,18192,5270,12922,12117.0,71.03122251539138,288.5
122,FI-70,FruitCatching-8,2,False,5,22.797141136611238,363,,8.0,29,17472,5052,12420,12126.0,71.08516483516483,267.23966942148763
123,FI-70,FruitCatching-9,8,False,12,26.225104573744893,269,,6.0,15,12960,3678,9282,12137.0,71.62037037037037,270.71375464684013
124,TO-50,FruitCatching-1,1,False,7,16.054750233426702,127,,3.0,18,6144,3202,2942,7300.0,47.88411458333333,172.44094488188975
125,TO-50,FruitCatching-10,2,False,8,19.732539682539684,179,,1.0,7,8640,4496,4144,12172.0,47.96296296296296,68.0
126,TO-50,FruitCatching-11,12,False,12,22.0,135,,,0,6528,3152,3376,11485.0,51.71568627450981,
127,TO-50,FruitCatching-12,0,False,2,14.0,138,,1.0,0,6672,3189,3483,6474.0,52.20323741007194,46.91304347826087
128,TO-50,FruitCatching-13,1,False,12,19.564047619047617,196,,24.0,147,9456,4854,4602,12139.0,48.66751269035533,1486.408163265306
129,TO-50,FruitCatching-14,22,False,24,27.09025974025974,121,,13.0,0,5856,3044,2812,12113.0,48.01912568306011,1301.396694214876
130,TO-50,FruitCatching-15,21,False,23,26.53844586923128,128,,17.0,0,6192,3188,3004,12053.0,48.514211886304906,1600.7890625
131,TO-50,FruitCatching-16,7,False,25,27.1,100,,1.0,0,4848,2510,2338,5149.0,48.226072607260726,51.49
132,TO-50,FruitCatching-17,3,False,15,23.454880262788706,215,,1.0,34,10368,5423,4945,12147.0,47.694830246913575,56.49767441860465
133,TO-50,FruitCatching-18,9,False,14,25.0,139,,1.0,7,6720,3222,3498,12170.0,52.05357142857143,87.55395683453239
134,TO-50,FruitCatching-19,18,False,20,25.196028810896248,133,,5.0,0,6432,3382,3050,11351.0,47.41915422885572,426.72932330827064
135,TO-50,FruitCatching-2,12,False,18,23.979616052952608,96,,1.0,0,4656,2401,2255,12194.0,48.43213058419244,127.02083333333333
136,TO-50,FruitCatching-20,20,False,21,25.46785714285714,105,,91.0,0,5088,2664,2424,12071.0,47.64150943396226,10461.533333333333
137,TO-50,FruitCatching-21,18,False,22,26.05436507936508,100,,1.0,0,4848,2533,2315,7183.0,47.7516501650165,71.83
138,TO-50,FruitCatching-22,5,False,15,23.312156223057155,179,,1.0,4,8640,4471,4169,12096.0,48.25231481481482,67.57541899441341
139,TO-50,FruitCatching-23,5,False,13,21.78063890132855,166,,1.0,0,8016,4176,3840,12082.0,47.90419161676647,72.78313253012048
140,TO-50,FruitCatching-24,17,False,18,24.409582621543088,100,,2.0,0,4848,2556,2292,12084.0,47.277227722772274,241.68
141,TO-50,FruitCatching-25,2,False,14,25.0,218,,1.0,122,10512,5118,5394,12081.0,51.31278538812786,55.41743119266055
142,TO-50,FruitCatching-26,16,False,17,23.43914768806073,220,,1.0,0,10608,5419,5189,12137.0,48.915912518853695,55.168181818181814
143,TO-50,FruitCatching-27,17,False,18,23.775736306083125,122,,1.0,0,5904,3059,2845,12134.0,48.18766937669376,99.45901639344262
144,TO-50,FruitCatching-28,26,False,26,27.433333333333334,100,,,0,4848,2454,2394,11835.0,49.38118811881188,
145,TO-50,FruitCatching-29,21,False,22,25.952272727272728,140,,94.0,0,6768,3538,3230,12076.0,47.72458628841608,8108.171428571428
146,TO-50,FruitCatching-3,12,False,19,25.01477072310406,156,,1.0,0,7536,3941,3595,12042.0,47.70435244161359,77.1923076923077
147,TO-50,FruitCatching-30,13,False,23,25.566880341880346,182,,1.0,11,8784,4541,4243,12141.0,48.30373406193078,66.70879120879121
148,TO-50,FruitCatching-31,15,False,19,24.654017977139286,129,,4.0,0,6240,3243,2997,12106.0,48.02884615384615,375.3798449612403
149,TO-50,FruitCatching-32,22,False,23,25.71170594178808,129,,29.0,0,6240,3272,2968,10537.0,47.56410256410256,2368.782945736434
150,TO-50,FruitCatching-33,17,False,18,24.91865079365079,105,,16.0,0,5088,2642,2446,12127.0,48.07389937106918,1847.9238095238097
151,TO-50,FruitCatching-34,24,False,25,26.43879781420765,156,,88.0,0,7536,3919,3617,12103.0,47.99628450106157,6827.333333333333
152,TO-50,FruitCatching-35,23,False,23,25.83821758220845,113,,,0,5472,2823,2649,8564.0,48.41008771929825,
153,TO-50,FruitCatching-36,4,False,17,23.745774976657327,211,,1.0,41,10176,5284,4892,12081.0,48.07389937106918,57.25592417061612
154,TO-50,FruitCatching-37,17,False,20,24.487738737497654,100,,1.0,0,4848,2592,2256,6004.0,46.53465346534654,60.04
155,TO-50,FruitCatching-38,17,False,20,25.31527283847361,137,,1.0,0,6624,3482,3142,12119.0,47.43357487922705,88.45985401459853
156,TO-50,FruitCatching-39,14,False,16,23.491810219842392,178,,53.0,0,8592,4488,4104,12062.0,47.76536312849162,3591.494382022472
157,TO-50,FruitCatching-4,20,False,21,25.123809523809527,100,,1.0,0,4848,2540,2308,10543.0,47.60726072607261,105.43
158,TO-50,FruitCatching-40,20,False,22,25.540696649029982,133,,1.0,0,6432,3360,3072,12144.0,47.76119402985074,91.30827067669172
159,TO-50,FruitCatching-41,16,False,17,23.801870748299315,93,,3.0,0,4512,2271,2241,12094.0,49.66755319148936,390.1290322580645
160,TO-50,FruitCatching-5,1,False,12,19.165187009001738,267,,35.0,180,12864,6576,6288,12053.0,48.88059701492538,1579.9812734082395
161,TO-50,FruitCatching-6,19,False,22,26.28809523809524,192,,1.0,0,9264,4786,4478,12126.0,48.33765112262521,63.15625
162,TO-50,FruitCatching-7,5,False,16,24.080246913580247,193,,1.0,23,9312,4872,4440,12091.0,47.680412371134025,62.64766839378239
163,TO-50,FruitCatching-8,2,False,9,18.240222942555054,124,,2.0,11,6000,3078,2922,6490.0,48.699999999999996,104.6774193548387
164,TO-50,FruitCatching-9,8,False,12,20.2702380952381,138,,12.0,0,6672,3496,3176,12132.0,47.60191846522782,1054.9565217391305
